year,month,quality_score,SO2,NO2,PM2.5,RSPM,SPM,high_confidence_count,medium_confidence_count,low_confidence_count,date
1987,1,78.50063829787234,20.38857142857143,27.232407407407408,,,273.0875912408759,0,141,0,1987-01-01
1987,2,78.28117647058824,23.591176470588238,33.341509433962266,,,267.6212121212121,0,135,1,1987-02-01
1987,3,78.48614035087719,21.47659574468085,35.728,,,330.52830188679246,0,57,0,1987-03-01
1987,4,79.06478260869565,21.58823529411765,21.63529411764706,,,225.17391304347825,0,23,0,1987-04-01
1987,5,76.734,23.43846153846154,40.19285714285714,,,328.3,0,20,0,1987-05-01
1987,6,76.84714285714286,20.9,35.416666666666664,,,326.0,0,7,0,1987-06-01
1987,7,78.822,14.783333333333333,26.525,,,239.5,0,10,0,1987-07-01
1987,8,80.68333333333332,18.316666666666666,26.466666666666665,,,297.1666666666667,0,6,0,1987-08-01
1987,9,72.905,28.799999999999997,33.825,,,348.6666666666667,0,7,1,1987-09-01
1987,10,75.29400000000001,25.450000000000003,21.15,,,196.2,0,5,0,1987-10-01
1987,11,77.00454545454545,17.283333333333335,1.7166666666666668,,,282.54545454545456,0,11,0,1987-11-01
1987,12,78.16,36.733333333333334,43.1,,,381.75,0,4,0,1987-12-01
1988,1,79.32621621621621,23.075132275132272,32.346315789473685,,,251.01442307692307,0,222,0,1988-01-01
1988,2,79.17271844660195,22.109826589595375,32.47456647398844,,,243.3451776649746,0,204,2,1988-02-01
1988,3,79.7036842105263,19.651470588235295,27.92205882352941,,,280.72463768115944,0,76,0,1988-03-01
1988,4,78.76444444444445,21.341379310344827,26.806896551724137,,,295.1470588235294,0,36,0,1988-04-01
1988,5,76.2597142857143,22.838095238095235,30.30952380952381,,,214.88235294117646,0,32,3,1988-05-01
1988,6,76.50666666666666,16.042857142857144,22.735714285714288,,,152.17391304347825,0,22,2,1988-06-01
1988,7,78.57666666666667,26.422222222222224,24.311111111111114,,,345.9166666666667,0,12,0,1988-07-01
1988,8,79.75727272727272,26.455555555555556,20.833333333333332,,,184.54545454545453,0,11,0,1988-08-01
1988,9,79.998,15.225,17.625,,,253.2,0,5,0,1988-09-01
1988,10,79.998,10.2,28.8,,,116.0,0,5,0,1988-10-01
1988,11,77.535,33.88333333333333,27.349999999999998,,,288.375,0,8,0,1988-11-01
1988,12,82.35,19.2,9.3,,,352.0,0,1,0,1988-12-01
1989,1,79.85444444444444,23.23787878787879,34.78169014084507,,,268.7971014492754,0,72,0,1989-01-01
1989,2,80.25422535211267,21.097101449275364,39.616176470588236,,,287.05797101449275,0,71,0,1989-02-01
1989,3,79.94898734177214,21.933333333333334,38.185526315789474,,,281.9871794871795,0,79,0,1989-03-01
1989,4,80.71705882352941,17.4,32.73734939759036,,,272.83529411764704,0,85,0,1989-04-01
1989,5,81.48249999999999,16.46708860759494,22.412820512820513,,,281.15,0,80,0,1989-05-01
1989,6,80.99051948051948,15.379166666666666,21.783783783783782,,,214.42857142857142,0,76,1,1989-06-01
1989,7,81.501884057971,15.088235294117647,23.425373134328357,,,157.2463768115942,0,69,0,1989-07-01
1989,8,81.74812499999999,14.056451612903226,20.576190476190476,,,152.28125,0,64,0,1989-08-01
1989,9,81.14561643835616,15.883823529411764,24.858333333333334,,,168.97260273972603,0,73,0,1989-09-01
1989,10,80.39,11.1,39.4,,,171.0,0,3,0,1989-10-01
1989,12,66.23639999999999,22.413888888888888,30.699999999999996,,,254.66666666666666,0,138,12,1989-12-01
1990,1,79.84942857142856,17.9247311827957,26.42121212121212,,,276.00970873786406,0,104,1,1990-01-01
1990,2,79.39322580645161,20.33153153153153,25.475,,,253.27826086956523,0,123,1,1990-02-01
1990,3,79.19227642276422,17.54561403508772,26.8,,,259.08035714285717,0,122,1,1990-03-01
1990,4,79.50782945736434,17.019008264462812,24.683333333333334,,,284.869918699187,0,129,0,1990-04-01
1990,5,79.32221374045801,17.26311475409836,26.448031496062992,,,274.608,0,131,0,1990-05-01
1990,6,79.89830769230768,15.93359375,23.91484375,,,287.4920634920635,0,130,0,1990-06-01
1990,7,80.00454545454545,14.083333333333334,22.413076923076922,,,188.29133858267716,0,132,0,1990-07-01
1990,8,79.37521008403361,16.04033613445378,25.114529914529914,,,169.4090909090909,0,119,0,1990-08-01
1990,9,79.82041322314049,17.080991735537193,23.39,,,156.15652173913043,0,121,0,1990-09-01
1990,10,79.795625,18.33359375,26.24921875,,,225.54098360655738,0,128,0,1990-10-01
1990,11,79.47730158730158,20.242857142857144,28.485714285714284,,,266.8474576271187,0,126,0,1990-11-01
1990,12,79.07786324786323,21.593913043478263,29.67304347826087,,,280.25925925925924,0,115,2,1990-12-01
1991,1,78.68368749999999,22.41699346405229,30.438709677419354,,,271.1045751633987,0,157,3,1991-01-01
1991,2,78.67056338028169,21.371538461538464,28.600735294117644,,,258.4580152671756,0,138,4,1991-02-01
1991,3,79.40154929577464,17.608823529411765,25.801470588235293,,,257.47014925373134,0,142,0,1991-03-01
1991,4,78.79083916083916,17.42814814814815,25.021323529411767,,,290.99264705882354,0,140,3,1991-04-01
1991,5,79.18736842105262,16.4375,25.16027397260274,,,266.4931506849315,0,149,3,1991-05-01
1991,6,79.23342857142858,17.064615384615387,24.765151515151516,,,221.69565217391303,0,138,2,1991-06-01
1991,7,79.23,15.630508474576272,23.423931623931622,,,196.7948717948718,0,121,0,1991-07-01
1991,8,79.30563636363635,13.222429906542056,22.40841121495327,,,149.69158878504672,0,110,0,1991-08-01
1991,9,78.38206611570247,14.747321428571428,25.58189655172414,,,179.03636363636363,0,120,1,1991-09-01
1991,10,78.29251851851852,16.2824,27.11297709923664,,,248.864406779661,0,135,0,1991-10-01
1991,11,77.51226890756301,17.739423076923078,25.55727272727273,,,266.25714285714287,0,117,2,1991-11-01
1991,12,77.7512213740458,19.396638655462183,26.166935483870965,,,275.82608695652175,0,131,0,1991-12-01
1992,1,77.95851063829787,19.855813953488372,28.90074074074074,,,211.54615384615386,0,140,1,1992-01-01
1992,2,78.55115107913669,16.01705426356589,29.89548872180451,,,175.38582677165354,0,138,1,1992-02-01
1992,3,77.7860606060606,20.430081300813008,33.95984251968504,,,201.10434782608695,0,131,1,1992-03-01
1992,4,78.50834710743801,18.483035714285712,29.712605042016808,,,264.280701754386,0,120,1,1992-04-01
1992,5,78.11672566371682,19.03069306930693,31.830188679245282,,,264.76635514018693,0,110,3,1992-05-01
1992,6,78.59349514563107,15.05108695652174,26.440206185567007,,,254.77894736842106,0,100,3,1992-06-01
1992,7,78.78315789473683,17.121126760563378,31.069014084507042,,,174.0,0,74,2,1992-07-01
1992,8,78.8145,16.515277777777776,32.01447368421052,,,122.91025641025641,0,77,3,1992-08-01
1992,9,78.9170588235294,13.888135593220339,29.47142857142857,,,123.23880597014926,0,67,1,1992-09-01
1992,10,78.55238095238094,15.981944444444444,30.10641025641026,,,149.57831325301206,0,84,0,1992-10-01
1992,11,78.718,18.302597402597403,32.255421686746985,,,172.26190476190476,0,85,0,1992-11-01
1992,12,78.01588235294118,18.760563380281692,33.491025641025644,,,191.23809523809524,0,85,0,1992-12-01
1993,1,72.38250000000001,23.478504672897195,35.44166666666666,,,285.5,0,108,4,1993-01-01
1993,2,73.22,21.5348623853211,31.18440366972477,,,270.1666666666667,0,110,2,1993-02-01
1993,3,72.92680672268908,20.041228070175436,30.16637931034483,,,351.5,0,116,3,1993-03-01
1993,4,73.28225,19.946153846153845,27.52457627118644,,,342.0,0,119,1,1993-04-01
1993,5,73.27773109243697,22.558474576271188,26.461344537815126,,,201.33333333333334,0,119,0,1993-05-01
1993,6,73.46060869565217,22.24867256637168,29.160526315789475,,,320.53846153846155,0,114,1,1993-06-01
1993,7,73.33095238095238,19.84757281553398,29.619417475728156,,,221.11111111111111,0,103,2,1993-07-01
1993,8,73.3319827586207,19.26181818181818,27.95090909090909,,,236.93333333333334,0,111,5,1993-08-01
1993,9,73.30045871559633,21.137735849056604,27.662264150943393,,,196.14285714285714,0,106,3,1993-09-01
1993,10,73.378125,21.4648,28.744799999999998,,,269.07142857142856,0,125,3,1993-10-01
1993,11,73.0616788321168,24.476744186046513,31.0984496124031,,,302.7826086956522,0,131,6,1993-11-01
1993,12,72.6934375,26.68925619834711,37.49426229508197,,,261.57142857142856,0,124,4,1993-12-01
1994,1,77.13527777777777,23.522556390977442,32.68897058823529,,,259.0082644628099,0,140,4,1994-01-01
1994,2,77.36954887218045,19.071544715447157,27.93170731707317,,,242.89380530973452,0,130,3,1994-02-01
1994,3,77.22832167832168,23.81259259259259,29.70294117647059,,,280.77685950413223,0,140,3,1994-03-01
1994,4,77.53289855072462,19.003076923076925,28.130534351145037,,,251.43965517241378,0,136,2,1994-04-01
1994,5,77.61764705882354,20.296899224806204,29.55,,,281.6034482758621,0,134,2,1994-05-01
1994,6,77.54555555555555,19.8171875,29.62923076923077,,,239.6864406779661,0,134,1,1994-06-01
1994,7,78.342,18.671074380165287,27.53360655737705,,,172.6206896551724,0,125,0,1994-07-01
1994,8,77.4963492063492,21.855833333333333,28.541525423728814,,,186.76146788990826,0,124,2,1994-08-01
1994,9,62.82315315315315,22.373831775700936,31.21588785046729,,,217.94897959183675,0,147,75,1994-09-01
1994,11,76.99321167883211,25.527272727272727,39.900757575757574,,,285.64102564102564,0,134,3,1994-11-01
1994,12,77.10966101694916,34.04260869565218,45.74695652173913,,,313.83185840707966,0,116,2,1994-12-01
1995,1,76.39816993464052,30.62290076335878,41.12867647058823,,,271.32142857142856,0,141,12,1995-01-01
1995,2,76.2924183006536,28.71328125,40.63233082706767,,,278.8695652173913,0,140,13,1995-02-01
1995,3,76.94006329113924,25.968382352941177,34.87972027972028,,,245.1103448275862,0,147,11,1995-03-01
1995,4,76.67455128205128,26.434351145038168,34.10289855072464,,,250.8840579710145,0,139,17,1995-04-01
1995,5,76.11298136645962,27.378358208955223,31.938297872340428,,,264.22463768115944,0,142,19,1995-05-01
1995,6,76.171375,24.88625954198473,28.823357664233576,,,256.33576642335765,0,138,22,1995-06-01
1995,7,76.765,22.259420289855075,26.666901408450705,,,206.72222222222223,0,144,18,1995-07-01
1995,8,76.2244099378882,23.732824427480917,27.76131386861314,,,186.8,0,141,20,1995-08-01
1995,9,77.03316455696202,22.031617647058823,29.69929577464789,,,196.23021582733813,0,143,15,1995-09-01
1995,10,77.3278,26.458646616541355,32.21438848920864,,,225.768115942029,0,140,10,1995-10-01
1995,11,76.57,25.903968253968255,36.61746031746032,,,269.016,0,127,13,1995-11-01
1995,12,76.4747770700637,27.851773049645388,33.344680851063835,,,298.38028169014086,0,143,14,1995-12-01
1996,1,78.12681818181818,24.08527607361963,28.426993865030678,,,246.90857142857143,0,171,5,1996-01-01
1996,2,78.04265536723163,22.232727272727274,28.545454545454547,,,261.01149425287355,0,173,4,1996-02-01
1996,3,78.22862068965516,21.09390243902439,26.658536585365855,,,264.1744186046512,0,171,3,1996-03-01
1996,4,78.49141176470587,19.283333333333335,25.570987654320987,,,278.1137724550898,0,168,2,1996-04-01
1996,5,78.42860465116279,19.980981595092025,27.75092024539877,,,278.4378698224852,0,169,3,1996-05-01
1996,6,78.46,19.56967741935484,24.734193548387097,,,266.4074074074074,0,161,4,1996-06-01
1996,7,78.8856626506024,16.870700636942676,22.892993630573248,,,187.65243902439025,0,163,3,1996-07-01
1996,8,78.77578313253011,18.21666666666667,21.54230769230769,,,175.09036144578315,0,162,4,1996-08-01
1996,9,78.52055214723927,19.825974025974023,25.51103896103896,,,210.14197530864197,0,159,4,1996-09-01
1996,10,78.7141463414634,21.527950310559007,27.91194968553459,,,249.71951219512195,0,161,3,1996-10-01
1996,11,78.54974999999999,21.74709677419355,28.6,,,272.34375,0,157,3,1996-11-01
1996,12,77.99475,23.21,29.845945945945946,,,291.72327044025155,0,156,4,1996-12-01
1997,1,78.03708571428571,26.835625,33.58203592814371,,,254.6081871345029,0,170,5,1997-01-01
1997,2,78.13244444444445,25.43680981595092,32.29941176470588,,,263.9717514124294,0,175,5,1997-02-01
1997,3,78.01797687861271,22.954193548387096,28.570625,,,250.60355029585799,0,164,9,1997-03-01
1997,4,78.0626582278481,20.569285714285712,25.270945945945947,,,210.75324675324674,0,151,7,1997-04-01
1997,5,78.16316455696202,19.555797101449276,24.700675675675676,,,220.07051282051282,0,150,8,1997-05-01
1997,6,78.3507453416149,18.930344827586207,26.15359477124183,,,191.52201257861634,0,156,5,1997-06-01
1997,7,78.1779754601227,17.950694444444444,26.795394736842105,,,169.944099378882,0,159,4,1997-07-01
1997,8,78.0579012345679,18.025,25.475167785234902,,,154.0691823899371,0,156,6,1997-08-01
1997,9,78.33981366459626,19.348226950354608,27.654248366013075,,,168.75155279503105,0,155,6,1997-09-01
1997,10,77.7175,21.81703703703704,28.251020408163264,,,194.5253164556962,0,150,10,1997-10-01
1997,11,77.62442424242424,20.767605633802816,28.441176470588236,,,210.52201257861634,0,156,9,1997-11-01
1997,12,78.30872611464967,21.6986013986014,28.66381578947368,,,202.76433121019107,0,154,3,1997-12-01
1998,1,78.4920606060606,21.72064516129032,29.139506172839507,,,263.3151515151515,0,162,3,1998-01-01
1998,2,78.79168674698795,20.421794871794873,27.788957055214727,,,257.9451219512195,0,163,3,1998-02-01
1998,3,78.72904761904762,20.996815286624205,28.387878787878787,,,245.5818181818182,0,166,2,1998-03-01
1998,4,78.4470731707317,21.070198675496687,27.5,,,253.3726708074534,0,161,3,1998-04-01
1998,5,78.29578313253012,18.887999999999998,26.979617834394904,,,265.680981595092,0,161,5,1998-05-01
1998,6,78.77098765432099,19.977631578947367,26.156603773584905,,,221.0625,0,159,3,1998-06-01
1998,7,78.74406451612903,21.02758620689655,25.967763157894737,,,185.51633986928104,0,152,3,1998-07-01
1998,8,78.79847682119205,18.678260869565218,24.55442176870748,,,176.0,0,148,3,1998-08-01
1998,9,78.81986666666667,17.27357142857143,25.188356164383563,,,191.42,0,149,1,1998-09-01
1998,10,78.85014814814815,16.739516129032257,26.776515151515152,,,243.8740740740741,0,134,1,1998-10-01
1998,11,78.52558823529411,21.502380952380953,27.861538461538462,,,270.57037037037037,0,135,1,1998-11-01
1998,12,78.78768595041322,21.804424778761064,31.230252100840335,,,312.76666666666665,0,120,1,1998-12-01
1999,1,78.5493220338983,22.86024096385542,33.068823529411766,,,258.4886363636364,0,175,2,1999-01-01
1999,2,78.31988505747127,24.919375,31.339024390243903,,,243.3505747126437,0,172,2,1999-02-01
1999,3,78.19863636363635,24.21358024691358,30.103614457831323,,,264.05172413793105,0,174,2,1999-03-01
1999,4,78.43094117647058,20.303797468354432,27.56645962732919,,,266.29761904761904,0,168,2,1999-04-01
1999,5,78.4690303030303,20.21390728476821,25.967741935483872,,,247.93251533742333,0,162,3,1999-05-01
1999,6,78.44123287671233,18.779411764705884,25.838405797101448,,,225.75342465753425,0,144,2,1999-06-01
1999,7,78.54859154929578,17.296969696969697,24.391176470588235,,,183.07142857142858,0,140,2,1999-07-01
1999,8,78.41864864864864,16.954135338345864,25.450359712230217,,,170.7945205479452,0,145,3,1999-08-01
1999,9,78.34183673469387,17.45597014925373,26.359712230215827,,,174.5374149659864,0,145,2,1999-09-01
1999,10,78.06183673469388,17.49772727272727,28.214388489208634,,,198.8661971830986,0,145,2,1999-10-01
1999,11,78.13713286713286,19.259848484848487,28.282481751824815,,,242.268115942029,0,141,2,1999-11-01
1999,12,77.97832116788321,21.32170542635659,32.9030303030303,,,270.8167938931298,0,135,2,1999-12-01
2000,1,78.56407407407407,19.3656050955414,33.29681528662421,,,230.45222929936307,0,162,0,2000-01-01
2000,2,78.71839506172839,17.41656050955414,30.24423076923077,,,208.7388535031847,0,162,0,2000-02-01
2000,3,78.91925,17.96624203821656,29.985987261146498,,,211.67532467532467,0,160,0,2000-03-01
2000,4,78.74036144578314,16.59685534591195,27.69375,,,220.32515337423314,0,166,0,2000-04-01
2000,5,78.82361963190183,16.792405063291138,27.900000000000002,,,206.3,0,163,0,2000-05-01
2000,6,78.63717948717948,15.449006622516558,26.089473684210525,,,186.6338028169014,0,156,0,2000-06-01
2000,7,78.61354430379745,15.081578947368422,25.249019607843138,,,147.97916666666666,0,157,1,2000-07-01
2000,8,78.55025316455695,15.703311258278145,25.78838709677419,,,143.96478873239437,0,157,1,2000-08-01
2000,9,78.62407407407407,16.39240506329114,26.781132075471696,,,154.6979865771812,0,162,0,2000-09-01
2000,10,78.899,17.19871794871795,29.528025477707004,,,202.30519480519482,0,160,0,2000-10-01
2000,11,78.92474999999999,17.254193548387097,31.153205128205126,,,222.48076923076923,0,160,0,2000-11-01
2000,12,78.70418181818181,17.58695652173913,34.06049382716049,,,252.78846153846155,0,165,0,2000-12-01
2001,1,77.53196531791907,18.153703703703705,32.00674846625767,,,272.1914893617021,0,167,6,2001-01-01
2001,2,77.77479532163743,18.29814814814815,31.22638036809816,,,280.7841726618705,0,167,4,2001-02-01
2001,3,77.81954545454545,17.807831325301205,29.531764705882352,,,247.05555555555554,0,174,2,2001-03-01
2001,4,77.66103448275862,15.936969696969696,29.682424242424243,,,271.4326241134752,0,172,2,2001-04-01
2001,5,77.87581005586593,14.785882352941176,27.15352941176471,,,250.96575342465752,0,177,2,2001-05-01
2001,6,78.23390243902438,13.28961038961039,26.361290322580643,,,194.8881118881119,0,163,1,2001-06-01
2001,7,78.16571428571429,13.061635220125787,24.01875,,,161.0,0,165,3,2001-07-01
2001,8,78.07748538011695,12.895679012345678,26.247852760736194,,,166.0212765957447,0,168,3,2001-08-01
2001,9,78.18412429378532,14.154437869822484,26.71736526946108,,,184.47260273972603,0,173,4,2001-09-01
2001,10,78.11337078651685,13.957142857142859,28.401169590643278,,,214.22602739726028,0,174,4,2001-10-01
2001,11,77.96011494252873,15.252409638554218,31.3,,,256.5034965034965,0,170,4,2001-11-01
2001,12,77.98017142857142,15.317964071856286,31.48392857142857,,,272.6923076923077,0,171,4,2001-12-01
2002,1,78.1478947368421,14.204268292682928,29.863855421686743,,,191.46896551724137,0,169,2,2002-01-01
2002,2,78.16684210526316,13.705521472392638,30.016463414634146,,,183.8972602739726,0,168,3,2002-02-01
2002,3,78.48294117647059,13.762275449101798,27.718562874251496,,,182.97241379310344,0,168,2,2002-03-01
2002,4,78.66458823529412,13.759638554216867,27.107831325301202,,,198.42465753424656,0,168,2,2002-04-01
2002,5,78.68348837209302,13.073529411764707,26.63764705882353,,,196.17567567567568,0,170,2,2002-05-01
2002,6,78.67934131736526,12.578658536585367,24.991515151515152,,,159.73611111111111,0,166,1,2002-06-01
2002,7,78.49837988826815,12.987283236994221,24.460693641618494,,,173.2922077922078,0,177,2,2002-07-01
2002,8,78.90770833333333,13.105319148936172,24.18191489361702,,,135.84023668639054,0,189,3,2002-08-01
2002,9,78.96895833333333,12.41111111111111,24.332275132275132,,,146.10059171597632,0,189,3,2002-09-01
2002,10,79.04821989528796,12.636702127659573,27.318617021276594,,,184.95857988165682,0,188,3,2002-10-01
2002,11,78.94726315789474,13.15837837837838,29.23010752688172,,,204.7202380952381,0,187,3,2002-11-01
2002,12,78.75604166666666,12.696276595744681,29.981382978723403,,,219.94610778443115,0,188,4,2002-12-01
2003,1,82.30473469387755,5.135964912280702,19.388646288209607,,82.58285714285714,185.54634146341462,0,245,0,2003-01-01
2003,2,82.64661904761905,5.082474226804123,16.8,,73.21153846153847,136.38857142857142,0,209,1,2003-02-01
2003,3,81.78857142857143,6.487804878048781,19.473170731707317,,77.45061728395062,183.33846153846153,0,231,0,2003-03-01
2003,4,81.48943396226414,6.345360824742268,20.24742268041237,,82.61379310344827,199.23295454545453,0,211,1,2003-04-01
2003,5,81.26193415637859,5.864628820960698,20.449781659388645,,88.71165644171779,282.7286432160804,0,242,1,2003-05-01
2003,6,81.81906666666667,5.868932038834951,19.52912621359223,,84.23225806451613,167.8709677419355,0,225,0,2003-06-01
2003,7,82.25162055335969,5.432203389830509,16.60593220338983,,62.976331360946745,134.76255707762556,0,253,0,2003-07-01
2003,8,81.93284360189573,6.732984293193717,18.87958115183246,,75.71830985915493,137.71823204419888,0,211,0,2003-08-01
2003,9,81.91175879396984,6.229508196721311,18.453551912568305,,81.32330827067669,124.97058823529412,0,199,0,2003-09-01
2003,10,80.6146568627451,9.118918918918919,30.308108108108108,,124.55555555555556,287.1488095238095,0,204,0,2003-10-01
2003,11,80.25059523809524,9.366013071895425,31.437908496732025,,138.5,276.5037037037037,0,168,0,2003-11-01
2003,12,80.53548387096774,9.049295774647888,33.936619718309856,,146.35555555555555,274.12396694214874,0,155,0,2003-12-01
2004,1,91.74540229885058,11.855272422464376,29.348751013787513,,129.61889186773905,185.85998379254457,918,387,0,2004-01-01
2004,2,91.80396321070235,12.061313868613139,29.974395796847638,,127.44533856722278,189.43116814159293,837,359,0,2004-02-01
2004,3,91.78813040062845,11.790603146853147,27.88931063122924,,126.88967889908257,199.05091514143095,885,388,0,2004-03-01
