city,High,Low,Medium,total,high_pct,medium_pct,low_pct
Dharuhera,0.0,0.0,1.0,1.0,0.0,100.0,0.0
Dharwad,0.0,0.0,409.0,409.0,0.0,100.0,0.0
Dibrugarh,0.0,0.0,790.0,790.0,0.0,100.0,0.0
Dimapur,185.0,1.0,1575.0,1761.0,10.51,89.44,0.06
Dombivli,0.0,2.0,825.0,827.0,0.0,99.76,0.24
Domlur,0.0,0.0,126.0,126.0,0.0,100.0,0.0
Durgapur,493.0,0.0,462.0,955.0,51.62,48.38,0.0
Durgapur (WB),0.0,0.0,1375.0,1375.0,0.0,100.0,0.0
Eluru,0.0,0.0,300.0,300.0,0.0,100.0,0.0
Faridabad,224.0,0.0,1634.0,1858.0,12.06,87.94,0.0
Faridkot,0.0,0.0,97.0,97.0,0.0,100.0,0.0
Firozabad,308.0,34.0,2278.0,2620.0,11.76,86.95,1.3
Gajraula,263.0,35.0,1210.0,1508.0,17.44,80.24,2.32
Gajroula,0.0,38.0,179.0,217.0,0.0,82.49,17.51
Gangtok,0.0,0.0,1.0,1.0,0.0,100.0,0.0
Ghaziabad,221.0,49.0,1786.0,2056.0,10.75,86.87,2.38
Gobindgarh,232.0,13.0,3731.0,3976.0,5.84,93.84,0.33
Golaghat,0.0,0.0,707.0,707.0,0.0,100.0,0.0
Gorakhpur,0.0,0.0,670.0,670.0,0.0,100.0,0.0
Greater Mumbai,0.0,2.0,687.0,689.0,0.0,99.71,0.29
Gulbarga,0.0,0.0,767.0,767.0,0.0,100.0,0.0
Guntur,69.0,0.0,560.0,629.0,10.97,89.03,0.0
Guwahati,0.0,28.0,9956.0,9984.0,0.0,99.72,0.28
Gwalior,221.0,23.0,1052.0,1296.0,17.05,81.17,1.77
HALDIA,0.0,0.0,104.0,104.0,0.0,100.0,0.0
Hailakandi,0.0,0.0,231.0,231.0,0.0,100.0,0.0
Haldia,432.0,9.0,1940.0,2381.0,18.14,81.48,0.38
Haldwani,0.0,0.0,254.0,254.0,0.0,100.0,0.0
Haridwar,0.0,0.0,299.0,299.0,0.0,100.0,0.0
Hassan,0.0,0.0,1024.0,1024.0,0.0,100.0,0.0
Hisar,0.0,79.0,933.0,1012.0,0.0,92.19,7.81
Honda,290.0,0.0,10.0,300.0,96.67,3.33,0.0
Hoshiarpur,0.0,0.0,88.0,88.0,0.0,100.0,0.0
Howrah,398.0,8.0,3195.0,3601.0,11.05,88.73,0.22
Hubli,0.0,0.0,411.0,411.0,0.0,100.0,0.0
Hubli-Dharwad,0.0,0.0,872.0,872.0,0.0,100.0,0.0
Hyderabad,1047.0,31.0,8589.0,9667.0,10.83,88.85,0.32
Imphal,0.0,0.0,76.0,76.0,0.0,100.0,0.0
Indore,667.0,54.0,2735.0,3456.0,19.3,79.14,1.56
Itanagar,0.0,0.0,45.0,45.0,0.0,100.0,0.0
Jabalpur,136.0,30.0,818.0,984.0,13.82,83.13,3.05
Jaipur,842.0,4.0,7004.0,7850.0,10.73,89.22,0.05
Jalandhar,0.0,95.0,3689.0,3784.0,0.0,97.49,2.51
Jalgaon,137.0,0.0,1716.0,1853.0,7.39,92.61,0.0
Jalna,0.0,0.0,905.0,905.0,0.0,100.0,0.0
Jammu,0.0,0.0,1289.0,1289.0,0.0,100.0,0.0
Jamnagar,271.0,0.0,744.0,1015.0,26.7,73.3,0.0
Jamshedpur,144.0,6.0,1829.0,1979.0,7.28,92.42,0.3
Jhansi,480.0,0.0,1289.0,1769.0,27.13,72.87,0.0
Jharia,121.0,3.0,876.0,1000.0,12.1,87.6,0.3
Jodhpur,814.0,11.0,5210.0,6035.0,13.49,86.33,0.18
Kadapa,0.0,0.0,316.0,316.0,0.0,100.0,0.0
Kakinada,0.0,0.0,288.0,288.0,0.0,100.0,0.0
Kala Amb,0.0,0.0,1548.0,1548.0,0.0,100.0,0.0
Kalinga Nagar,306.0,0.0,208.0,514.0,59.53,40.47,0.0
Kalyani,0.0,0.0,104.0,104.0,0.0,100.0,0.0
Kanpur,796.0,24.0,6725.0,7545.0,10.55,89.13,0.32
Karaikal,0.0,0.0,431.0,431.0,0.0,100.0,0.0
Karimnagar,0.0,0.0,167.0,167.0,0.0,100.0,0.0
Kashipur,0.0,0.0,236.0,236.0,0.0,100.0,0.0
Keonjhar,76.0,0.0,0.0,76.0,100.0,0.0,0.0
Khadoli,50.0,0.0,259.0,309.0,16.18,83.82,0.0
Khajuraho,0.0,0.0,16.0,16.0,0.0,100.0,0.0
Khammam,0.0,0.0,698.0,698.0,0.0,100.0,0.0
Khanna,0.0,1.0,2134.0,2135.0,0.0,99.95,0.05
Khliehriat,0.0,0.0,221.0,221.0,0.0,100.0,0.0
Khurja,115.0,59.0,1128.0,1302.0,8.83,86.64,4.53
Kochi,746.0,2.0,6515.0,7263.0,10.27,89.7,0.03
Kohima,93.0,0.0,609.0,702.0,13.25,86.75,0.0
Kolar,0.0,0.0,199.0,199.0,0.0,100.0,0.0
Kolasib,0.0,0.0,623.0,623.0,0.0,100.0,0.0
Kolhapur,294.0,18.0,2868.0,3180.0,9.25,90.19,0.57
Kolkata,930.0,7.0,6796.0,7733.0,12.03,87.88,0.09
Kollam,224.0,0.0,1243.0,1467.0,15.27,84.73,0.0
Konark,65.0,0.0,13.0,78.0,83.33,16.67,0.0
Korba,160.0,34.0,3127.0,3321.0,4.82,94.16,1.02
Kota,577.0,7.0,3597.0,4181.0,13.8,86.03,0.17
Kothur,0.0,0.0,96.0,96.0,0.0,100.0,0.0
Kottayam,192.0,2.0,2201.0,2395.0,8.02,91.9,0.08
Kotttayam,0.0,0.0,144.0,144.0,0.0,100.0,0.0
Kozhikode,216.0,9.0,2399.0,2624.0,8.23,91.43,0.34
Kundaim,202.0,0.0,5.0,207.0,97.58,2.42,0.0
Kurnool,0.0,2.0,855.0,857.0,0.0,99.77,0.23
Lakhimpur,0.0,0.0,503.0,503.0,0.0,100.0,0.0
Latur,260.0,0.0,1516.0,1776.0,14.64,85.36,0.0
Lote,10.0,0.0,947.0,957.0,1.04,98.96,0.0
Lucknow,841.0,61.0,5292.0,6194.0,13.58,85.44,0.98
Ludhiana,0.0,35.0,6140.0,6175.0,0.0,99.43,0.57
Lunglei,0.0,0.0,590.0,590.0,0.0,100.0,0.0
MALDAH,0.0,0.0,104.0,104.0,0.0,100.0,0.0
MORBI,46.0,0.0,0.0,46.0,100.0,0.0,0.0
Madras,0.0,0.0,937.0,937.0,0.0,100.0,0.0
Madurai,310.0,16.0,2712.0,3038.0,10.2,89.27,0.53
Mahad,172.0,14.0,357.0,543.0,31.68,65.75,2.58
Malappuram,108.0,0.0,564.0,672.0,16.07,83.93,0.0
Manali,0.0,0.0,779.0,779.0,0.0,100.0,0.0
Mandya,0.0,0.0,304.0,304.0,0.0,100.0,0.0
Mangalore,0.0,0.0,906.0,906.0,0.0,100.0,0.0
Mapusa,142.0,0.0,63.0,205.0,69.27,30.73,0.0
Margao,204.0,0.0,3.0,207.0,98.55,1.45,0.0
Margherita,0.0,0.0,426.0,426.0,0.0,100.0,0.0
Mathura,0.0,0.0,78.0,78.0,0.0,100.0,0.0
Meerut,103.0,3.0,578.0,684.0,15.06,84.5,0.44
Mettur,55.0,0.0,431.0,486.0,11.32,88.68,0.0
Moradabad,0.0,0.0,956.0,956.0,0.0,100.0,0.0
Mormugao,0.0,1.0,262.0,263.0,0.0,99.62,0.38
Mumbai,88.0,0.0,2373.0,2461.0,3.58,96.42,0.0
Mysore,216.0,2.0,2414.0,2632.0,8.21,91.72,0.08
Nagaon,0.0,0.0,451.0,451.0,0.0,100.0,0.0
Nagda,502.0,121.0,2415.0,3038.0,16.52,79.49,3.98
Nagpur,753.0,47.0,7029.0,7829.0,9.62,89.78,0.6
Nahan,0.0,15.0,1149.0,1164.0,0.0,98.71,1.29
Naharlagun,0.0,0.0,45.0,45.0,0.0,100.0,0.0
Nalagarh,0.0,2.0,850.0,852.0,0.0,99.77,0.23
Nalbari,0.0,0.0,489.0,489.0,0.0,100.0,0.0
Nalco,0.0,33.0,75.0,108.0,0.0,69.44,30.56
Nalgonda,0.0,0.0,941.0,941.0,0.0,100.0,0.0
Nanded,0.0,0.0,1432.0,1432.0,0.0,100.0,0.0
Nashik,595.0,1.0,4549.0,5145.0,11.56,88.42,0.02
Navi Mumbai,563.0,33.0,4945.0,5541.0,10.16,89.24,0.6
Naya Nangal,1.0,57.0,2421.0,2479.0,0.04,97.66,2.3
Nellore,0.0,0.0,408.0,408.0,0.0,100.0,0.0
Nizamabad,0.0,0.0,27.0,27.0,0.0,100.0,0.0
Noida,405.0,27.0,1074.0,1506.0,26.89,71.31,1.79
"Noida, Ghaziabad",0.0,27.0,0.0,27.0,0.0,0.0,100.0
Nongstoin,0.0,0.0,236.0,236.0,0.0,100.0,0.0
Ongole,0.0,0.0,317.0,317.0,0.0,100.0,0.0
Palakkad,121.0,1.0,1039.0,1161.0,10.42,89.49,0.09
Panaji,4.0,38.0,891.0,933.0,0.43,95.5,4.07
Panjim,0.0,1.0,156.0,157.0,0.0,99.36,0.64
Paonta Sahib,0.0,55.0,3246.0,3301.0,0.0,98.33,1.67
Paradeep,289.0,0.0,96.0,385.0,75.06,24.94,0.0
Parwanoo,0.0,108.0,3415.0,3523.0,0.0,96.93,3.07
Patancheru,0.0,0.0,913.0,913.0,0.0,100.0,0.0
Pathanamthitta,0.0,0.0,597.0,597.0,0.0,100.0,0.0
Patiala,0.0,8.0,1427.0,1435.0,0.0,99.44,0.56
Patna,196.0,3.0,1364.0,1563.0,12.54,87.27,0.19
Pithampur,0.0,0.0,139.0,139.0,0.0,100.0,0.0
Ponda,111.0,0.0,108.0,219.0,50.68,49.32,0.0
Pondicherry,528.0,45.0,2340.0,2913.0,18.13,80.33,1.54
Pondichery,0.0,1.0,440.0,441.0,0.0,99.77,0.23
Pune,472.0,5.0,4702.0,5179.0,9.11,90.79,0.1
Puri,34.0,0.0,24.0,58.0,58.62,41.38,0.0
Rai Bareilly,0.0,0.0,970.0,970.0,0.0,100.0,0.0
Raichur,0.0,0.0,132.0,132.0,0.0,100.0,0.0
Raipur,0.0,47.0,1661.0,1708.0,0.0,97.25,2.75
Rajahmundry,0.0,0.0,311.0,311.0,0.0,100.0,0.0
Rajkot,423.0,0.0,1435.0,1858.0,22.77,77.23,0.0
Ramagundam,32.0,1.0,691.0,724.0,4.42,95.44,0.14
Ranchi,0.0,5.0,750.0,755.0,0.0,99.34,0.66
Ranebennur,0.0,0.0,302.0,302.0,0.0,100.0,0.0
Raniganj,291.0,0.0,592.0,883.0,32.96,67.04,0.0
Rayagada,588.0,0.0,1642.0,2230.0,26.37,73.63,0.0
Renusagar,191.0,0.0,475.0,666.0,28.68,71.32,0.0
Rishikesh,0.0,0.0,215.0,215.0,0.0,100.0,0.0
Roha,122.0,0.0,132.0,254.0,48.03,51.97,0.0
Rourkela,712.0,27.0,2225.0,2964.0,24.02,75.07,0.91
Rudrapur,0.0,2.0,211.0,213.0,0.0,99.06,0.94
SANAND,23.0,0.0,0.0,23.0,100.0,0.0,0.0
SILIGURI,0.0,0.0,104.0,104.0,0.0,100.0,0.0
Sagar,125.0,26.0,581.0,732.0,17.08,79.37,3.55
